ID,Municipio,Comunidade,Area,Sexo,Idade,Faixa_Etaria,Escolaridade,Renda,Ocupacao,Tempo_Residencia,Participou_Oficina,Participa_Associacao,Benef_Programa,Forma_Coleta,QV,Saude,Educacao,Transporte,Seguranca,Meio_Ambiente,Agua,Geracao_Renda,Confianca_Empresa,Confianca_PoderPublico,Pertencimento,Conhecimento_Projeto,Transparencia,Participacao_Social,Principal_Preocupacao,Prioridade_Investimento,Canal_Comunicacao,Sugestao
20,Vale Verde,Boa Vista,Urbana,F,34,30-44,Superior,2060,Desempregado,7,Não,Não,Não,Totem,2,4,2,4,4,2,5,4,2,4,3,3,2,2,Emprego,Emprego,Redes Sociais,Ampliar atendimento de saúde.
21,Boa Esperança,Santa Rita,Urbana,M,53,45-59,Médio,2250,Autônomo,1,Não,Não,Sim,Tablet,2,4,2,4,5,5,5,2,3,4,5,4,3,1,Segurança,Saúde,Rádio,Aumentar diálogo com comunidades.
22,Rio Claro,Centro,Urbana,F,33,30-44,Médio,2343,Agricultura,5,Não,Não,Sim,Tablet,2,4,5,4,4,2,5,3,2,4,4,4,2,3,Saúde,Educação,Lideranças,Ampliar atendimento de saúde.
23,Vale Verde,Boa Vista,Urbana,F,74,60+,Superior,3131,Autônomo,58,Não,Não,Não,Tablet,5,4,3,4,5,5,5,4,2,2,3,2,2,1,Emprego,Saúde,Redes Sociais,Ampliar atendimento de saúde.
24,Boa Esperança,Santa Rita,Rural,M,31,30-44,Médio,1303,Autônomo,42,Não,Sim,Não,QR Code,5,2,5,2,2,2,4,2,5,2,3,4,5,1,Água,Água,Rádio,Melhorar transporte rural.
25,Boa Esperança,Santa Rita,Urbana,F,44,30-44,Superior,3085,Desempregado,46,Não,Não,Não,Tablet,2,4,5,4,3,5,5,2,4,2,4,4,4,2,Emprego,Água,Redes Sociais,Melhorar abastecimento de água.
26,Boa Esperança,Santa Rita,Rural,F,66,60+,Médio,2287,Agricultura,49,Não,Não,Não,Totem,3,2,2,1,2,3,2,2,3,5,3,2,3,3,Água,Saúde,WhatsApp,Aumentar diálogo com comunidades.
27,Serra Azul,Barreiro,Rural,F,68,60+,Fundamental,3104,Formal,47,Não,Não,Não,QR Code,2,3,3,2,4,2,4,3,4,3,5,3,4,1,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
28,Serra Azul,Barreiro,Urbana,M,59,45-59,Superior,1421,Desempregado,41,Sim,Não,Não,Totem,3,4,2,4,5,5,5,5,4,4,3,3,4,3,Saúde,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
29,Santa Aurora,Lagoa,Rural,M,46,45-59,Superior,2844,Desempregado,45,Não,Sim,Não,Totem,3,3,2,1,3,3,3,5,5,3,5,5,5,2,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
30,Lagoa Nova,Córrego,Rural,F,77,60+,Superior,2672,Autônomo,34,Sim,Não,Não,Tablet,5,2,5,2,5,5,4,2,3,3,3,3,3,3,Água,Saúde,Lideranças,Investir em qualificação profissional.
31,Lagoa Nova,Córrego,Rural,F,65,60+,Médio,2938,Autônomo,13,Não,Não,Não,Tablet,2,2,5,2,5,5,2,5,2,2,4,4,2,1,Água,Saúde,WhatsApp,Melhorar abastecimento de água.
32,São Miguel do Norte,São José,Urbana,M,72,60+,Superior,2159,Agricultura,3,Não,Não,Sim,Tablet,4,4,4,4,4,3,5,4,2,5,4,2,2,1,Saúde,Saúde,WhatsApp,Melhorar transporte rural.
33,Pedra Branca,Pedreira,Rural,M,31,30-44,Médio,2678,Agricultura,28,Sim,Não,Não,QR Code,4,2,2,2,5,5,2,2,4,4,4,4,4,3,Água,Educação,Rádio,Investir em qualificação profissional.
34,Rio Claro,Centro,Urbana,M,44,30-44,Superior,2962,Formal,38,Não,Não,Não,Totem,2,4,4,4,5,3,5,3,3,4,5,2,3,3,Emprego,Água,Rádio,Investir em qualificação profissional.
35,Boa Esperança,Santa Rita,Urbana,F,28,18-29,Médio,1703,Autônomo,40,Não,Não,Não,Totem,2,4,3,4,3,4,5,2,3,3,4,2,3,1,Segurança,Emprego,WhatsApp,Investir em qualificação profissional.
36,Rio Claro,Centro,Urbana,F,23,18-29,Superior,4147,Formal,27,Sim,Não,Sim,Tablet,3,4,4,4,3,5,5,3,3,4,5,5,3,3,Segurança,Emprego,Redes Sociais,Ampliar atendimento de saúde.
37,Pedra Branca,Pedreira,Urbana,M,45,45-59,Superior,2188,Autônomo,44,Não,Sim,Não,QR Code,3,4,3,4,3,3,5,5,3,2,3,4,3,2,Segurança,Saúde,Rádio,Ampliar atendimento de saúde.
38,Pedra Branca,Pedreira,Rural,M,58,45-59,Superior,2349,Agricultura,18,Não,Não,Não,Tablet,3,3,3,3,3,2,4,2,2,5,5,3,2,2,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
39,Vale Verde,Boa Vista,Urbana,M,50,45-59,Médio,3246,Autônomo,29,Sim,Não,Sim,QR Code,5,4,4,4,2,5,5,5,5,4,4,3,5,3,Emprego,Saúde,WhatsApp,Investir em qualificação profissional.
40,Lagoa Nova,Córrego,Rural,M,62,60+,Médio,1437,Autônomo,12,Sim,Não,Sim,Tablet,3,4,4,2,3,5,4,3,4,3,5,4,4,3,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
41,São Miguel do Norte,São José,Urbana,F,54,45-59,Superior,3589,Autônomo,31,Não,Não,Não,Tablet,3,4,3,4,4,5,5,4,4,2,5,3,4,2,Segurança,Saúde,Lideranças,Aumentar diálogo com comunidades.
42,Rio Claro,Centro,Urbana,M,34,30-44,Médio,2652,Desempregado,31,Sim,Sim,Não,Tablet,5,4,5,4,4,4,5,3,4,2,3,5,4,3,Emprego,Emprego,Redes Sociais,Melhorar abastecimento de água.
43,Santa Aurora,Lagoa,Rural,M,28,18-29,Médio,3371,Autônomo,7,Não,Sim,Não,QR Code,5,2,2,1,4,3,4,3,3,3,3,3,3,3,Água,Emprego,WhatsApp,Ampliar atendimento de saúde.
44,Pedra Branca,Pedreira,Urbana,F,49,45-59,Fundamental,3006,Formal,43,Sim,Não,Não,QR Code,3,4,4,4,4,5,5,4,5,3,5,5,5,3,Emprego,Saúde,Redes Sociais,Melhorar abastecimento de água.
45,Vale Verde,Boa Vista,Urbana,F,22,18-29,Médio,1835,Desempregado,49,Não,Não,Não,QR Code,2,4,5,4,4,2,5,3,4,3,4,3,4,3,Emprego,Emprego,Redes Sociais,Investir em qualificação profissional.
46,Pedra Branca,Pedreira,Rural,F,37,30-44,Médio,2442,Aposentado,34,Sim,Não,Não,Tablet,3,3,3,2,5,2,4,4,5,5,5,5,5,3,Água,Educação,Redes Sociais,Investir em qualificação profissional.
47,Serra Azul,Barreiro,Urbana,M,31,30-44,Médio,2473,Autônomo,59,Não,Sim,Não,Tablet,2,4,3,4,3,3,5,2,3,5,4,4,3,2,Segurança,Emprego,Rádio,Aumentar diálogo com comunidades.
48,São Miguel do Norte,São José,Urbana,M,76,60+,Fundamental,2957,Agricultura,15,Sim,Não,Não,Totem,2,4,3,4,5,4,5,5,5,2,3,3,5,3,Segurança,Saúde,Redes Sociais,Ampliar atendimento de saúde.
49,Rio Claro,Centro,Urbana,F,28,18-29,Médio,2779,Formal,3,Não,Sim,Não,Tablet,3,4,5,4,4,3,5,3,4,5,5,3,4,2,Emprego,Emprego,Rádio,Ampliar atendimento de saúde.
50,São Miguel do Norte,São José,Urbana,F,22,18-29,Superior,1696,Autônomo,16,Não,Não,Não,Tablet,3,4,3,4,2,4,5,4,2,2,3,3,2,1,Segurança,Emprego,WhatsApp,Melhorar abastecimento de água.
51,Lagoa Nova,Córrego,Rural,F,80,60+,Superior,1457,Desempregado,42,Não,Sim,Não,QR Code,5,4,3,3,4,4,2,5,5,3,5,4,5,2,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
52,Santa Aurora,Lagoa,Rural,F,21,18-29,Superior,2206,Autônomo,23,Não,Sim,Não,QR Code,3,4,3,3,3,4,4,4,5,2,4,5,5,1,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
53,Santa Aurora,Lagoa,Urbana,M,60,60+,Superior,1917,Desempregado,58,Não,Não,Não,Totem,5,4,4,4,3,3,5,3,3,5,4,4,3,1,Emprego,Saúde,WhatsApp,Aumentar diálogo com comunidades.
54,Serra Azul,Barreiro,Urbana,F,33,30-44,Superior,3585,Desempregado,7,Não,Não,Não,Totem,3,4,3,4,5,5,5,3,4,5,5,3,4,1,Segurança,Água,Lideranças,Investir em qualificação profissional.
55,Serra Azul,Barreiro,Urbana,M,57,45-59,Fundamental,1960,Autônomo,59,Não,Não,Não,QR Code,2,4,5,4,4,5,5,2,3,4,3,4,3,2,Saúde,Saúde,Redes Sociais,Melhorar transporte rural.
56,Serra Azul,Barreiro,Urbana,F,31,30-44,Médio,2631,Agricultura,53,Sim,Não,Não,Tablet,5,4,5,4,3,2,5,4,3,2,5,4,3,3,Saúde,Emprego,Rádio,Aumentar diálogo com comunidades.
57,São Miguel do Norte,São José,Urbana,M,36,30-44,Médio,2366,Autônomo,57,Sim,Não,Não,Totem,2,4,3,4,5,3,5,2,4,3,3,3,4,3,Emprego,Emprego,Rádio,Investir em qualificação profissional.
58,Rio Claro,Centro,Urbana,M,23,18-29,Médio,4157,Formal,2,Sim,Não,Não,QR Code,4,4,3,4,5,4,5,2,5,3,3,4,5,3,Emprego,Emprego,Rádio,Melhorar abastecimento de água.
59,Vale Verde,Boa Vista,Urbana,F,43,30-44,Fundamental,3600,Desempregado,31,Não,Não,Não,QR Code,4,4,2,4,3,4,5,2,3,3,4,4,3,2,Emprego,Educação,Redes Sociais,Ampliar atendimento de saúde.
60,Pedra Branca,Pedreira,Urbana,F,31,30-44,Fundamental,2942,Autônomo,34,Não,Sim,Não,QR Code,3,4,3,4,4,5,5,4,4,3,5,3,4,1,Emprego,Água,WhatsApp,Melhorar abastecimento de água.
61,Boa Esperança,Santa Rita,Urbana,M,23,18-29,Médio,2324,Autônomo,48,Sim,Não,Não,Tablet,2,4,5,4,2,4,5,2,5,3,5,4,5,3,Saúde,Emprego,WhatsApp,Ampliar atendimento de saúde.
62,São Miguel do Norte,São José,Rural,F,56,45-59,Superior,2899,Aposentado,55,Não,Não,Não,QR Code,2,3,4,3,4,4,4,5,2,2,5,3,2,1,Água,Saúde,WhatsApp,Melhorar abastecimento de água.
63,Santa Aurora,Lagoa,Rural,F,76,60+,Médio,3481,Agricultura,57,Sim,Sim,Não,Totem,5,4,4,2,3,3,4,3,5,5,4,4,5,3,Água,Saúde,Rádio,Ampliar atendimento de saúde.
64,Vale Verde,Boa Vista,Rural,M,44,30-44,Superior,3528,Agricultura,24,Não,Sim,Não,Totem,4,2,2,1,2,3,4,4,4,4,3,3,4,3,Água,Água,Lideranças,Investir em qualificação profissional.
65,Pedra Branca,Pedreira,Urbana,M,52,45-59,Superior,2725,Aposentado,45,Não,Não,Não,Totem,5,4,5,4,2,2,5,5,4,3,5,3,4,2,Segurança,Saúde,Redes Sociais,Ampliar atendimento de saúde.
66,Boa Esperança,Santa Rita,Urbana,F,25,18-29,Médio,2379,Formal,28,Sim,Não,Sim,Tablet,5,4,2,4,5,3,5,2,5,3,3,3,5,3,Segurança,Emprego,Rádio,Melhorar transporte rural.
67,Vale Verde,Boa Vista,Urbana,F,59,45-59,Superior,2045,Autônomo,31,Não,Não,Não,Totem,4,4,3,4,4,2,5,3,2,5,3,2,2,3,Saúde,Saúde,WhatsApp,Melhorar abastecimento de água.
68,Santa Aurora,Lagoa,Rural,M,52,45-59,Médio,2836,Formal,4,Sim,Não,Não,Tablet,2,4,3,3,2,5,2,3,4,3,5,5,4,3,Água,Saúde,WhatsApp,Melhorar abastecimento de água.
69,Rio Claro,Centro,Urbana,F,67,60+,Fundamental,2377,Desempregado,59,Não,Não,Não,Totem,4,4,3,4,5,4,5,4,2,3,4,3,2,1,Saúde,Saúde,WhatsApp,Aumentar diálogo com comunidades.
70,Santa Aurora,Lagoa,Urbana,M,35,30-44,Médio,1711,Aposentado,47,Não,Não,Não,Totem,4,4,4,4,4,5,5,3,4,5,4,3,4,3,Emprego,Emprego,Redes Sociais,Ampliar atendimento de saúde.
71,Boa Esperança,Santa Rita,Urbana,F,30,30-44,Médio,2298,Autônomo,29,Não,Não,Não,Totem,2,4,2,4,5,2,5,2,4,4,3,4,4,2,Segurança,Educação,Rádio,Melhorar abastecimento de água.
72,Vale Verde,Boa Vista,Rural,F,58,45-59,Superior,2023,Desempregado,25,Não,Não,Sim,Totem,4,2,3,2,2,4,4,4,3,3,4,4,3,2,Água,Saúde,WhatsApp,Ampliar atendimento de saúde.
73,Santa Aurora,Lagoa,Urbana,F,47,45-59,Médio,1926,Aposentado,8,Não,Sim,Não,Totem,2,4,2,4,3,3,5,4,4,4,5,5,4,2,Segurança,Saúde,Lideranças,Melhorar transporte rural.
74,Lagoa Nova,Córrego,Urbana,M,47,45-59,Médio,2614,Autônomo,22,Sim,Sim,Não,Totem,5,4,3,4,3,3,5,4,4,4,3,4,4,3,Segurança,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
75,Boa Esperança,Santa Rita,Rural,M,53,45-59,Superior,1942,Formal,12,Não,Não,Não,Totem,2,4,3,3,2,2,3,2,2,3,3,2,2,1,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
76,Santa Aurora,Lagoa,Rural,F,65,60+,Superior,3516,Autônomo,32,Sim,Não,Sim,Tablet,2,2,2,3,5,4,2,3,3,2,5,4,3,3,Água,Saúde,Redes Sociais,Aumentar diálogo com comunidades.
77,Lagoa Nova,Córrego,Urbana,M,20,18-29,Médio,2539,Formal,57,Sim,Sim,Não,Totem,4,4,5,4,2,4,5,4,5,3,4,5,5,3,Segurança,Emprego,Lideranças,Melhorar transporte rural.
78,Lagoa Nova,Córrego,Rural,F,19,18-29,Médio,3218,Aposentado,38,Não,Sim,Sim,QR Code,4,3,5,3,4,4,2,4,5,4,5,4,5,2,Água,Emprego,Lideranças,Melhorar transporte rural.
79,Boa Esperança,Santa Rita,Rural,M,60,60+,Superior,1020,Agricultura,55,Não,Sim,Não,Tablet,4,2,4,3,2,4,4,2,4,3,5,3,4,2,Água,Saúde,Lideranças,Ampliar atendimento de saúde.
80,Pedra Branca,Pedreira,Urbana,M,22,18-29,Superior,3075,Formal,34,Não,Não,Sim,QR Code,4,4,3,4,3,3,5,4,4,5,3,2,4,3,Emprego,Emprego,Lideranças,Ampliar atendimento de saúde.
81,Rio Claro,Centro,Urbana,F,38,30-44,Superior,2881,Agricultura,39,Não,Sim,Não,QR Code,5,4,5,4,3,4,5,3,5,2,4,4,5,3,Saúde,Emprego,Lideranças,Melhorar abastecimento de água.
82,Boa Esperança,Santa Rita,Urbana,F,23,18-29,Médio,1491,Formal,42,Sim,Não,Não,QR Code,3,4,5,4,5,2,5,2,3,2,3,5,3,3,Saúde,Emprego,Lideranças,Melhorar abastecimento de água.
83,São Miguel do Norte,São José,Urbana,M,30,30-44,Médio,3423,Formal,48,Não,Não,Não,Totem,5,4,4,4,3,3,5,5,2,5,5,3,2,2,Saúde,Água,Lideranças,Ampliar atendimento de saúde.
84,Pedra Branca,Pedreira,Urbana,M,50,45-59,Fundamental,2766,Formal,2,Sim,Não,Não,QR Code,2,4,4,4,3,3,5,2,4,3,5,3,4,3,Segurança,Saúde,WhatsApp,Investir em qualificação profissional.
85,Pedra Branca,Pedreira,Rural,F,47,45-59,Superior,2915,Agricultura,48,Sim,Sim,Sim,Tablet,2,2,4,1,2,3,3,4,4,2,4,4,4,3,Água,Saúde,Redes Sociais,Ampliar atendimento de saúde.
86,Santa Aurora,Lagoa,Urbana,F,56,45-59,Fundamental,3185,Desempregado,15,Sim,Não,Não,Totem,2,4,3,4,2,5,5,5,3,5,3,3,3,3,Saúde,Saúde,Redes Sociais,Melhorar abastecimento de água.
87,Lagoa Nova,Córrego,Urbana,M,39,30-44,Médio,2460,Desempregado,18,Não,Não,Sim,Totem,5,4,3,4,3,2,5,5,3,2,3,3,3,3,Emprego,Educação,Rádio,Investir em qualificação profissional.
88,Pedra Branca,Pedreira,Urbana,F,32,30-44,Médio,3237,Desempregado,54,Não,Sim,Não,Tablet,3,4,3,4,2,3,5,3,4,3,5,4,4,2,Segurança,Água,WhatsApp,Aumentar diálogo com comunidades.
89,Rio Claro,Centro,Urbana,F,52,45-59,Superior,2570,Agricultura,23,Não,Não,Não,Tablet,4,4,2,4,5,4,5,4,4,4,3,4,4,2,Saúde,Saúde,WhatsApp,Melhorar transporte rural.
90,Boa Esperança,Santa Rita,Rural,F,62,60+,Superior,2878,Autônomo,37,Sim,Sim,Sim,Tablet,5,4,2,3,2,3,4,2,5,5,4,5,5,3,Água,Saúde,Lideranças,Ampliar atendimento de saúde.
91,Vale Verde,Boa Vista,Urbana,M,60,60+,Superior,2728,Autônomo,16,Sim,Não,Não,Totem,2,4,2,4,4,2,5,2,4,5,4,5,4,3,Emprego,Saúde,WhatsApp,Ampliar atendimento de saúde.
92,Santa Aurora,Lagoa,Rural,F,60,60+,Médio,3039,Desempregado,19,Não,Não,Não,Tablet,3,4,4,1,2,5,3,3,4,4,3,3,4,1,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
93,Serra Azul,Barreiro,Rural,M,69,60+,Superior,2970,Formal,28,Sim,Não,Não,Tablet,5,4,2,1,3,5,4,3,5,2,4,5,5,3,Água,Saúde,Redes Sociais,Melhorar abastecimento de água.
94,Vale Verde,Boa Vista,Rural,F,34,30-44,Médio,2462,Formal,2,Não,Não,Não,QR Code,4,2,4,3,5,3,2,3,3,2,5,2,3,1,Água,Água,Rádio,Aumentar diálogo com comunidades.
95,Vale Verde,Boa Vista,Urbana,F,74,60+,Superior,2745,Desempregado,42,Não,Sim,Não,Totem,2,4,2,4,3,5,5,2,3,4,3,3,3,1,Segurança,Saúde,Lideranças,Investir em qualificação profissional.
96,Serra Azul,Barreiro,Rural,M,44,30-44,Superior,3374,Desempregado,55,Não,Não,Sim,QR Code,2,3,5,3,3,3,4,3,3,3,3,2,3,3,Água,Emprego,Rádio,Aumentar diálogo com comunidades.
97,Boa Esperança,Santa Rita,Urbana,F,25,18-29,Superior,2078,Agricultura,60,Não,Não,Sim,Totem,3,4,5,4,2,2,5,2,3,5,3,2,3,3,Emprego,Emprego,Rádio,Melhorar transporte rural.
98,São Miguel do Norte,São José,Urbana,F,69,60+,Superior,1642,Agricultura,5,Não,Não,Sim,Tablet,3,4,3,4,5,3,5,5,2,3,3,2,2,1,Saúde,Saúde,Lideranças,Investir em qualificação profissional.
99,São Miguel do Norte,São José,Urbana,F,37,30-44,Fundamental,1791,Aposentado,41,Não,Não,Sim,Tablet,2,4,5,4,3,5,5,3,2,5,5,2,2,3,Emprego,Emprego,WhatsApp,Ampliar atendimento de saúde.
100,Rio Claro,Centro,Urbana,F,40,30-44,Superior,2751,Autônomo,29,Não,Não,Sim,Totem,4,4,4,4,2,2,5,3,3,5,4,2,3,2,Saúde,Água,Rádio,Aumentar diálogo com comunidades.
101,Lagoa Nova,Córrego,Rural,F,77,60+,Superior,2629,Formal,3,Sim,Não,Não,QR Code,2,3,2,3,5,4,3,2,5,3,5,4,5,3,Água,Saúde,WhatsApp,Investir em qualificação profissional.
102,Lagoa Nova,Córrego,Rural,M,21,18-29,Fundamental,2608,Formal,10,Sim,Não,Não,Totem,2,2,3,3,4,4,3,2,4,5,4,4,4,3,Água,Emprego,Redes Sociais,Ampliar atendimento de saúde.
103,Boa Esperança,Santa Rita,Rural,M,43,30-44,Médio,3001,Desempregado,21,Não,Sim,Não,Totem,4,2,5,1,3,3,4,2,4,3,3,4,4,1,Água,Educação,WhatsApp,Melhorar abastecimento de água.
104,Serra Azul,Barreiro,Urbana,M,67,60+,Fundamental,2496,Desempregado,16,Não,Não,Não,Tablet,3,4,3,4,5,2,5,2,3,3,4,4,3,3,Segurança,Saúde,Redes Sociais,Melhorar abastecimento de água.
105,Santa Aurora,Lagoa,Urbana,M,33,30-44,Médio,2925,Agricultura,33,Não,Não,Não,QR Code,2,4,2,4,4,3,5,5,3,2,5,2,3,3,Segurança,Água,Lideranças,Ampliar atendimento de saúde.
106,Boa Esperança,Santa Rita,Urbana,M,26,18-29,Fundamental,1324,Agricultura,30,Sim,Não,Não,Totem,5,4,2,4,2,3,5,2,3,2,3,4,3,3,Saúde,Emprego,Rádio,Melhorar abastecimento de água.
107,Santa Aurora,Lagoa,Urbana,F,32,30-44,Fundamental,2717,Desempregado,11,Sim,Não,Sim,Tablet,2,4,5,4,2,3,5,2,3,4,3,4,3,3,Saúde,Emprego,WhatsApp,Investir em qualificação profissional.
108,Boa Esperança,Santa Rita,Rural,M,31,30-44,Fundamental,2107,Desempregado,14,Sim,Não,Não,Totem,5,4,2,1,5,4,2,2,5,2,5,5,5,3,Água,Água,WhatsApp,Melhorar transporte rural.
109,Lagoa Nova,Córrego,Urbana,F,76,60+,Fundamental,1880,Aposentado,12,Não,Não,Sim,QR Code,2,4,2,4,2,5,5,2,4,4,4,3,4,1,Saúde,Saúde,Redes Sociais,Ampliar atendimento de saúde.
110,Pedra Branca,Pedreira,Urbana,M,59,45-59,Fundamental,2199,Desempregado,21,Não,Não,Sim,Totem,3,4,4,4,4,4,5,3,4,5,5,2,4,2,Saúde,Saúde,Rádio,Ampliar atendimento de saúde.
111,Santa Aurora,Lagoa,Urbana,F,64,60+,Superior,1800,Aposentado,4,Sim,Não,Não,Totem,2,4,3,4,2,2,5,5,4,2,3,3,4,3,Saúde,Saúde,Rádio,Melhorar abastecimento de água.
112,São Miguel do Norte,São José,Rural,M,39,30-44,Superior,2312,Desempregado,56,Não,Não,Não,QR Code,5,3,2,3,3,5,4,3,3,2,4,3,3,2,Água,Educação,WhatsApp,Melhorar transporte rural.
113,Boa Esperança,Santa Rita,Rural,M,55,45-59,Médio,1735,Autônomo,16,Não,Não,Não,Totem,4,4,2,1,5,3,2,2,4,5,5,2,4,1,Água,Saúde,Redes Sociais,Investir em qualificação profissional.
114,Serra Azul,Barreiro,Urbana,M,74,60+,Superior,2176,Formal,13,Sim,Não,Não,QR Code,5,4,4,4,5,2,5,4,4,5,5,5,4,3,Saúde,Saúde,Rádio,Melhorar abastecimento de água.
115,Pedra Branca,Pedreira,Rural,F,27,18-29,Fundamental,3319,Desempregado,5,Sim,Sim,Não,Tablet,4,3,3,2,4,5,3,4,5,3,5,4,5,3,Água,Emprego,WhatsApp,Melhorar abastecimento de água.
116,Boa Esperança,Santa Rita,Urbana,M,75,60+,Médio,2594,Formal,12,Não,Sim,Sim,QR Code,4,4,3,4,3,2,5,2,4,4,5,5,4,2,Saúde,Saúde,Lideranças,Investir em qualificação profissional.
117,Vale Verde,Boa Vista,Rural,F,20,18-29,Fundamental,2226,Desempregado,7,Não,Não,Sim,Tablet,3,2,5,2,2,5,4,3,3,5,3,2,3,3,Água,Emprego,Redes Sociais,Melhorar abastecimento de água.
